timestamp,x,y,z
1403636578922881280,3.64203,-0.846659,4.28639
1403636578968881408,3.6427,-0.852272,4.29818
1403636579022881280,3.64319,-0.858323,4.31415
1403636579068881152,3.64324,-0.86465,4.33038
1403636579118881280,3.64399,-0.873154,4.34837
1403636579169881344,3.64418,-0.880914,4.36696
1403636579219881216,3.64489,-0.889371,4.38514
1403636579270881280,3.64624,-0.899582,4.40268
1403636579366881280,3.64765,-0.917835,4.43611
1403636579422881280,3.64788,-0.927424,4.4544
1403636579466881280,3.64768,-0.934972,4.4695
1403636579520881152,3.64707,-0.942594,4.48459
1403636579569881088,3.64681,-0.950579,4.49669
1403636579621881344,3.64636,-0.956232,4.50515
1403636579717881088,3.64693,-0.962001,4.50862
1403636579766881280,3.64741,-0.961664,4.50451
1403636580267881472,3.63511,-0.869833,4.33152
1403636580369881344,3.63203,-0.84696,4.28867
1403636580421881088,3.63025,-0.836714,4.26996
1403636580470881280,3.62993,-0.832118,4.25103
1403636580518881280,3.62887,-0.825588,4.23626
1403636580568881152,3.62761,-0.81941,4.22371
1403636580618881280,3.6265,-0.814753,4.21509
1403636580667881216,3.62563,-0.812664,4.21184
1403636580718881280,3.62556,-0.815369,4.21544
1403636580969881344,3.617,-0.857844,4.34295
1403636581218881280,3.61644,-0.950603,4.4986
1403636581316881152,3.61835,-0.977571,4.54953
1403636581369881344,3.62011,-0.989105,4.57085
1403636581417881344,3.62175,-0.999452,4.58842
1403636581467881216,3.62373,-1.00822,4.5998
1403636581520881152,3.62519,-1.01411,4.60425
1403636582017881344,3.63482,-0.901978,4.38315
1403636582120881408,3.63419,-0.873441,4.32523
1403636582217881088,3.63055,-0.847151,4.28099
1403636582270881280,3.62923,-0.838381,4.26281
1403636582319881216,3.62781,-0.83214,4.25173
1403636582368881152,3.62718,-0.832013,4.2459
1403636582968881408,3.62555,-0.971906,4.52915
1403636583019881216,3.62707,-0.984073,4.55901
1403636583066881280,3.62971,-0.99675,4.5828
1403636583118881280,3.63211,-1.00928,4.60451
1403636583169881344,3.63418,-1.01935,4.62019
1403636583221881344,3.63586,-1.02575,4.62971
1403636583268881408,3.6369,-1.02816,4.6323
1403636583819881216,3.64044,-0.886405,4.37653
1403636583918881280,3.6412,-0.857455,4.32453
1403636583967881216,3.64089,-0.844702,4.30283
1403636584018881280,3.64058,-0.83436,4.2811
1403636584070881280,3.63983,-0.825643,4.26334
1403636584118881280,3.63917,-0.819823,4.24971
1403636584168881152,3.63894,-0.817981,4.24
1403636584219881216,3.63838,-0.81823,4.23652
1403636584866881280,3.63076,-0.967744,4.56473
1403636584966881280,3.63075,-0.995615,4.61347
1403636585020881152,3.63136,-1.00864,4.63313
1403636585068881152,3.63172,-1.01799,4.64678
1403636585119881472,3.63182,-1.02375,4.65438
1403636585170881280,3.63148,-1.02485,4.65601
1403636585667881216,3.63612,-0.92094,4.4721
1403636585767881472,3.6397,-0.90095,4.43469
1403636585818881280,3.6426,-0.895832,4.41937
1403636585867881216,3.64545,-0.893979,4.40704
1403636585916881408,3.64737,-0.891722,4.39922
1403636585967881216,3.64955,-0.892227,4.39375
1403636586018881280,3.65183,-0.89427,4.39057
1403636586068881152,3.65365,-0.897684,4.38915
1403636586120881408,3.65421,-0.899334,4.39002
1403636586169881344,3.6538,-0.900651,4.39172
1403636586219881216,3.65172,-0.90239,4.3931
1403636586268881408,3.65045,-0.903899,4.39646
1403636586319881216,3.64811,-0.905754,4.39974
1403636586368881152,3.64634,-0.908092,4.4022
1403636586467881216,3.64572,-0.913963,4.4049
1403636586518881280,3.64658,-0.916707,4.40569
1403636586567881472,3.64812,-0.919992,4.4058
1403636586617881344,3.64972,-0.922261,4.40631
1403636586666881280,3.65242,-0.925296,4.4067
1403636586718881280,3.65578,-0.927472,4.40806
1403636586766881280,3.66012,-0.929387,4.40959
1403636586817881344,3.6652,-0.930334,4.41199
1403636586866881280,3.67007,-0.93086,4.41365
1403636586967881216,3.6791,-0.928393,4.41702
1403636587019881216,3.68175,-0.926509,4.41761
1403636587069881088,3.68275,-0.924967,4.41778
1403636587121881344,3.68252,-0.921212,4.41959
1403636587221881344,3.68272,-0.916508,4.42212
1403636587269881344,3.68327,-0.913682,4.42388
1403636587321881344,3.68521,-0.910221,4.4255
1403636587369881344,3.68849,-0.906312,4.42723
1403636587420881152,3.69382,-0.901608,4.42898
1403636587521881344,3.70784,-0.887833,4.43555
1403636587566881280,3.71699,-0.882097,4.43808
1403636587621881344,3.72998,-0.87601,4.44054
1403636587718881280,3.75775,-0.862717,4.447
1403636587817881344,3.79036,-0.850216,4.45422
1403636587869881344,3.80755,-0.841659,4.45987
1403636587967881216,3.84119,-0.82958,4.46721
1403636588018881280,3.85829,-0.822737,4.47005
1403636588068881152,3.87446,-0.815761,4.47222
1403636588117881344,3.88922,-0.808963,4.47383
1403636588167881216,3.90331,-0.802158,4.47508
1403636588221881344,3.91642,-0.794598,4.47656
1403636588270881280,3.9277,-0.789206,4.47626
1403636588320881408,3.9376,-0.784404,4.47594
1403636588422881280,3.95171,-0.777106,4.4749
1403636588470881280,3.956,-0.775681,4.47386
1403636588567881472,3.95866,-0.775501,4.47163
1403636588621881344,3.95698,-0.776839,4.47053
1403636588718881280,3.94748,-0.782511,4.47041
1403636588767881472,3.94014,-0.787156,4.4703
1403636588818881280,3.93078,-0.79238,4.4697
