timestamp,x,y,z
1403636578922881280,0,0,0
1403636578968881408,-3.33965e-05,0.1507,0.0415213
1403636579022881280,0.0158215,0.112322,0.0122323
1403636579068881152,0.0060345,0.110611,-0.017114
1403636579118881280,0.138988,0.0866541,-0.00278088
1403636579169881344,0.30038,0.0799737,0.0167242
1403636579219881216,0.0458083,0.0864608,-0.0233548
1403636579270881280,-0.162684,0.101748,-0.0404875
1403636579366881280,-0.254293,0.11382,-0.0508357
1403636579422881280,0.188947,0.0522992,0.21337
1403636579466881280,0.00319986,0.0524388,0.230718
1403636579520881152,-0.162617,0.112719,0.059416
1403636579569881088,-0.105606,0.18759,-0.000693435
1403636579621881344,-0.197931,0.13615,-0.0522743
1403636579717881088,0.0616798,0.0583969,0.241091
1403636579766881280,-0.0976681,0.144265,0.157179
1403636580267881472,-0.0606393,0.167239,0.0504241
1403636580369881344,0.0730034,0.184924,-0.0114428
1403636580421881088,0.128195,0.219785,-0.108146
1403636580470881280,0.0303719,0.22922,-0.210641
1403636580518881280,-0.0216687,0.231149,-0.2418
1403636580568881152,0.02128,0.195171,-0.0924329
1403636580618881280,0.0279251,0.080118,0.114585
1403636580667881216,-0.031532,0.166088,0.0335909
1403636580718881280,-0.00532903,0.22058,-0.00818026
1403636580969881344,0.0167048,0.171904,0.0629046
1403636581218881280,0.0433197,0.272193,0.187113
1403636581316881152,0.0427425,0.273183,0.206711
1403636581369881344,0.0526128,0.293582,0.254914
1403636581417881344,0.262283,-0.0363029,0.118763
1403636581467881216,0.577588,-0.19471,0.290976
1403636581520881152,1.3856,-0.399271,1.03567
1403636582017881344,1.99939,-0.769983,2.46617
1403636582120881408,2.27284,-1.19737,3.33412
1403636582217881088,2.53998,-1.66228,4.27587
1403636582270881280,2.86985,-1.8711,5.33987
1403636582319881216,3.26312,-2.20715,6.16557
1403636582368881152,3.78956,-2.27885,7.00705
1403636582968881408,4.11562,-2.44441,7.6907
1403636583019881216,4.44243,-2.74576,8.23306
1403636583066881280,5.04667,-3.03896,8.70151
1403636583118881280,5.63143,-3.01198,8.77788
1403636583169881344,6.13516,-3.10753,8.29719
1403636583221881344,6.08028,-2.87206,7.77802
1403636583268881408,6.26126,-2.65334,7.06092
1403636583819881216,5.94776,-2.44766,6.60994
1403636583918881280,5.71846,-2.34294,6.31812
1403636583967881216,5.40124,-2.16271,5.93433
1403636584018881280,5.15001,-2.00315,5.66785
1403636584070881280,4.91416,-1.85708,5.35086
1403636584118881280,4.76879,-1.64535,5.05394
1403636584168881152,4.65378,-1.47625,4.88256
1403636584219881216,4.55245,-1.2578,4.79594
1403636584866881280,4.56049,-1.11839,4.77669
1403636584966881280,4.66275,-0.924476,4.85628
1403636585020881152,4.71648,-0.919406,5.0499
1403636585068881152,4.61457,-0.955008,5.32783
1403636585119881472,4.67643,-0.792002,5.3984
1403636585170881280,5.08509,-0.774839,5.57747
1403636585667881216,5.37951,-0.793952,5.8533
1403636585767881472,5.69677,-0.985962,6.15267
1403636585818881280,5.88099,-1.10334,6.36879
1403636585867881216,6.03697,-1.19464,6.57029
1403636585916881408,6.17948,-1.27141,6.75911
1403636585967881216,6.38001,-1.32853,6.98844
1403636586018881280,6.75096,-1.29306,7.27427
1403636586068881152,7.0419,-1.36294,7.58228
1403636586120881408,7.16895,-1.42565,7.88801
1403636586169881344,6.02365,-1.50233,6.27784
1403636586219881216,6.46897,-1.36433,7.0924
1403636586268881408,6.81562,-1.47347,7.92698
1403636586319881216,6.89921,-1.63726,8.58486
1403636586368881152,6.82808,-1.82821,8.92239
1403636586467881216,6.55933,-1.95502,8.5996
1403636586518881280,6.24014,-1.83486,8.33213
1403636586567881472,5.76221,-1.74397,7.92485
1403636586617881344,5.23251,-1.54333,7.43688
1403636586666881280,4.97594,-1.44137,6.95992
1403636586718881280,4.52574,-1.15694,6.33392
1403636586766881280,4.29804,-0.945026,5.80816
1403636586817881344,4.0458,-0.768516,5.33637
1403636586866881280,3.8742,-0.53632,4.97171
1403636586967881216,3.73123,-0.209214,4.63993
1403636587019881216,3.60305,-0.151993,4.42183
1403636587069881088,3.38225,-0.219115,4.28945
1403636587121881344,3.21516,-0.30235,4.31982
1403636587221881344,3.25077,-0.327652,4.53919
1403636587269881344,4.0175,-1.07337,4.79878
1403636587321881344,4.17724,-0.615162,4.46517
1403636587369881344,4.41837,-0.386786,4.52088
1403636587420881152,5.10044,-0.224354,4.68131
1403636587521881344,5.73364,-0.253931,5.19846
1403636587566881280,6.26331,-0.362058,5.70495
1403636587621881344,6.70128,-0.68387,6.26593
1403636587718881280,7.18535,-0.869574,7.01801
1403636587817881344,7.64095,-1.00475,7.71919
1403636587869881344,7.62228,-1.06654,8.45191
1403636587967881216,7.29584,-1.28819,8.94976
1403636588018881280,6.73315,-1.67421,8.77612
1403636588068881152,6.26274,-1.92885,8.12599
