timestamp,x,y,z
1403715271705179904,1.7565,-0.11181,-1.19931
1403715271715232256,1.75616,-0.111933,-1.19927
1403715271725265664,1.75642,-0.11195,-1.19918
1403715271735318784,1.75619,-0.11194,-1.19921
1403715271745246208,1.75644,-0.111954,-1.19918
1403715271755243008,1.75634,-0.111916,-1.19924
1403715271765361152,1.75639,-0.111927,-1.1992
1403715271775210752,1.75641,-0.111966,-1.19919
1403715271785189376,1.75633,-0.111918,-1.19926
1403715271795222016,1.7562,-0.111928,-1.19925
1403715271805470208,1.75606,-0.111817,-1.1993
1403715271818269952,1.75634,-0.111912,-1.19927
1403715271825357568,1.75639,-0.111908,-1.19928
1403715271835211776,1.75628,-0.111893,-1.19923
1403715271845194496,1.75642,-0.111897,-1.19921
1403715271855236864,1.75616,-0.111932,-1.19927
1403715271865565696,1.75643,-0.111949,-1.19927
1403715271875287296,1.75609,-0.111891,-1.19922
1403715271885234688,1.75641,-0.111946,-1.1992
1403715271895414016,1.75627,-0.111941,-1.19922
1403715271905290240,1.75615,-0.111894,-1.1992
1403715271915201536,1.75642,-0.111957,-1.19924
1403715271925342464,1.75635,-0.11193,-1.19927
1403715271935348480,1.75639,-0.111907,-1.19915
1403715271945254400,1.75659,-0.111924,-1.19918
1403715271955436800,1.75655,-0.111944,-1.19924
1403715271965372416,1.75636,-0.111906,-1.19924
1403715271975248640,1.75657,-0.111931,-1.19921
1403715271985295360,1.75641,-0.111962,-1.19922
1403715271995326720,1.75635,-0.111943,-1.19923
1403715272005246464,1.75649,-0.111902,-1.19925
1403715272015251200,1.75639,-0.111932,-1.19928
1403715272025423104,1.75637,-0.111919,-1.19919
1403715272035722496,1.75641,-0.11195,-1.19927
1403715272045254656,1.75619,-0.111936,-1.19919
1403715272055244032,1.75643,-0.11193,-1.19922
1403715272065134080,1.75644,-0.11196,-1.19921
1403715272075245312,1.75636,-0.111906,-1.19922
1403715272085216768,1.75644,-0.11193,-1.19917
1403715272095326976,1.7565,-0.111928,-1.19924
1403715272105338112,1.75639,-0.111931,-1.19921
1403715272115346688,1.75638,-0.111913,-1.19921
1403715272125398784,1.75633,-0.111893,-1.19926
1403715272135304192,1.75633,-0.111923,-1.19928
1403715272145254144,1.75634,-0.111923,-1.19925
1403715272155228672,1.75645,-0.111963,-1.19921
1403715272165373952,1.75607,-0.111959,-1.19926
1403715272175259392,1.75632,-0.111923,-1.19927
1403715272185313536,1.75639,-0.111924,-1.19926
1403715272195333376,1.75636,-0.11187,-1.19929
1403715272205350400,1.75644,-0.111924,-1.19916
1403715272215244800,1.75641,-0.111791,-1.19925
1403715272225366528,1.75636,-0.111903,-1.19928
1403715272235287808,1.7564,-0.111937,-1.19922
1403715272245153536,1.75639,-0.111925,-1.19926
1403715272255359744,1.75634,-0.111933,-1.19919
1403715272265302784,1.75649,-0.111884,-1.1992
1403715272275344128,1.75636,-0.111902,-1.19928
1403715272285357568,1.75638,-0.111914,-1.19922
1403715272295252480,1.7563,-0.111868,-1.19926
1403715272305238528,1.75639,-0.111977,-1.19924
1403715272315251968,1.75618,-0.111929,-1.19924
1403715272325255680,1.75638,-0.111943,-1.19919
1403715272335213056,1.75629,-0.111839,-1.19933
1403715272345323264,1.7564,-0.111943,-1.19922
1403715272355210240,1.75633,-0.11195,-1.19923
1403715272365369856,1.75646,-0.11196,-1.19922
1403715272375232768,1.75639,-0.111947,-1.19926
1403715272385390848,1.75635,-0.111904,-1.19929
1403715272395388160,1.75613,-0.111915,-1.1992
1403715272405398016,1.75633,-0.11189,-1.19925
1403715272415295744,1.75614,-0.11193,-1.19928
1403715272425405184,1.75642,-0.111968,-1.19923
1403715272435308288,1.7564,-0.111958,-1.19925
1403715272445230592,1.75642,-0.111941,-1.19924
1403715272455262976,1.75635,-0.111927,-1.19926
1403715272465343232,1.75633,-0.11194,-1.1992
1403715272475273984,1.7563,-0.111862,-1.19931
1403715272485356800,1.75653,-0.111851,-1.1993
1403715272495321088,1.75633,-0.111927,-1.19927
1403715272505271808,1.75617,-0.111946,-1.19922
1403715272515211776,1.7565,-0.111912,-1.19925
1403715272525400576,1.75649,-0.111894,-1.19921
1403715272535341312,1.75635,-0.111904,-1.19929
1403715272545219584,1.75637,-0.111949,-1.19922
1403715272555259392,1.75611,-0.111919,-1.19924
1403715272565244416,1.75639,-0.111985,-1.1992
1403715272575236352,1.75613,-0.111925,-1.1992
1403715272585246208,1.75611,-0.111921,-1.19923
1403715272595377920,1.75612,-0.111943,-1.19917
1403715272605266688,1.75651,-0.111892,-1.19925
1403715272615330816,1.75609,-0.11187,-1.1992
1403715272625335552,1.75601,-0.11184,-1.1993
1403715272635257856,1.75636,-0.111934,-1.19923
1403715272645228544,1.75613,-0.111957,-1.19918
1403715272655236352,1.7564,-0.111929,-1.19924
1403715272665211136,1.75635,-0.111956,-1.19927
1403715272675284224,1.75627,-0.111847,-1.19936
1403715272685340416,1.75641,-0.111936,-1.19921
1403715272695302912,1.75612,-0.11195,-1.19923
1403715272705327872,1.75643,-0.111978,-1.1992
1403715272715287808,1.75632,-0.111847,-1.19926
1403715272725598720,1.75639,-0.111933,-1.19919
1403715272735313920,1.75641,-0.11194,-1.19917
1403715272745241088,1.75636,-0.111918,-1.19919
1403715272755374592,1.75638,-0.111923,-1.19926
1403715272765227264,1.75638,-0.111968,-1.19923
1403715272775233024,1.75613,-0.111924,-1.19928
1403715272785302784,1.75644,-0.111954,-1.19921
1403715272795680512,1.75615,-0.111928,-1.19922
1403715272805260544,1.75636,-0.111909,-1.19927
1403715272815303424,1.75632,-0.111897,-1.19929
1403715272825261056,1.75632,-0.1119,-1.1993
1403715272835232512,1.75632,-0.111897,-1.19929
1403715272845237248,1.75613,-0.111944,-1.19918
1403715272855409920,1.75633,-0.111919,-1.19922
1403715272865275136,1.75619,-0.111975,-1.19916
1403715272878775808,1.75638,-0.111891,-1.19923
1403715272885370368,1.75632,-0.11191,-1.19925
1403715272895279104,1.75616,-0.111932,-1.19927
1403715272905306624,1.75633,-0.111949,-1.19924
1403715272915187456,1.7563,-0.111929,-1.19929
1403715272925352960,1.7561,-0.111888,-1.19927
1403715272935341056,1.75637,-0.111913,-1.19927
1403715272945256704,1.75634,-0.111906,-1.1993
1403715272955415552,1.75632,-0.111861,-1.19925
1403715272965468416,1.75621,-0.111855,-1.19937
1403715272975302656,1.75607,-0.111862,-1.19936
1403715272985422336,1.75627,-0.111829,-1.19928
1403715272995140096,1.75626,-0.111847,-1.19932
1403715273005316864,1.7563,-0.111882,-1.19933
1403715273015288576,1.75621,-0.111843,-1.19934
1403715273025350400,1.75624,-0.1118,-1.19933
1403715273035279616,1.75637,-0.111903,-1.19929
1403715273045526528,1.75623,-0.11185,-1.19931
1403715273055322880,1.7561,-0.111881,-1.19931
1403715273065215488,1.75634,-0.11191,-1.19927
1403715273075278336,1.75609,-0.111894,-1.19922
1403715273085209600,1.75621,-0.111963,-1.19921
1403715273095213568,1.75629,-0.111898,-1.19926
1403715273105443072,1.75613,-0.111886,-1.19928
1403715273115372288,1.7561,-0.111913,-1.19926
1403715273125271552,1.75635,-0.111936,-1.19929
1403715273135305472,1.75642,-0.111985,-1.19916
1403715273145321728,1.75644,-0.111828,-1.19923
1403715273155392256,1.75638,-0.111948,-1.19925
1403715273165191936,1.75631,-0.111888,-1.19934
1403715273175382784,1.75638,-0.111956,-1.19925
1403715273185293568,1.75634,-0.111876,-1.1993
1403715273195271168,1.75631,-0.11185,-1.19929
1403715273205452288,1.75629,-0.111883,-1.1993
1403715273215313152,1.75638,-0.111909,-1.19927
1403715273225311232,1.75647,-0.111969,-1.19918
1403715273235269632,1.75604,-0.111892,-1.1993
1403715273245532928,1.75639,-0.11195,-1.19926
1403715273255403776,1.75635,-0.111897,-1.1993
1403715273265228032,1.75643,-0.111947,-1.1992
1403715273275291904,1.75631,-0.111931,-1.19929
1403715273285369600,1.75635,-0.111865,-1.19931
1403715273295282432,1.75642,-0.111946,-1.19924
1403715273305321728,1.75609,-0.111857,-1.19934
1403715273315254016,1.75641,-0.111942,-1.19927
1403715273325438464,1.75616,-0.111942,-1.19921
1403715273335305472,1.75608,-0.111886,-1.19932
1403715273345296896,1.75617,-0.111943,-1.19926
1403715273355309312,1.75627,-0.111888,-1.19926
1403715273365270272,1.75619,-0.111931,-1.19929
1403715273375315200,1.7563,-0.111857,-1.19936
1403715273385295360,1.75638,-0.11192,-1.19927
1403715273395198720,1.75635,-0.111926,-1.19924
1403715273405232384,1.75621,-0.111977,-1.19921
1403715273415268352,1.75643,-0.111972,-1.1992
1403715273425287168,1.75619,-0.111963,-1.19924
1403715273435274496,1.75643,-0.111961,-1.19924
1403715273445208576,1.75617,-0.11193,-1.19924
1403715273455355648,1.75637,-0.11191,-1.1993
1403715273465290752,1.7564,-0.111947,-1.19926
1403715273475316736,1.75616,-0.111853,-1.19933
1403715273485387520,1.75636,-0.111908,-1.1992
1403715273495316224,1.75613,-0.111953,-1.19924
1403715273505489920,1.75619,-0.111926,-1.1992
1403715273515326976,1.7563,-0.111859,-1.19935
1403715273525321472,1.75639,-0.111969,-1.19922
1403715273535261952,1.75616,-0.111942,-1.19924
