timestamp,x,y,z
1403715271705179904,0,0,0
1403715271715232256,-0.0184079,-0.167878,0.0282007
1403715271725265664,-0.0298234,-0.351027,0.108857
1403715271735318784,-0.0816473,-0.501333,0.283654
1403715271745246208,-0.0557143,-0.467877,0.526294
1403715271755243008,-0.0197886,-0.508298,0.841809
1403715271765361152,0.132633,-0.517228,1.22217
1403715271775210752,0.52167,-0.768112,0.796541
1403715271785189376,0.888943,-0.531044,0.495792
1403715271795222016,1.37686,-0.46624,0.199689
1403715271805470208,1.66003,-0.157839,-0.279108
1403715271818269952,1.97953,-0.282214,-0.695288
1403715271825357568,1.89502,0.0810893,-0.890607
1403715271835211776,2.02851,0.329695,-1.12708
1403715271845194496,2.49653,0.348882,-1.01517
1403715271855236864,2.39793,0.170762,-0.887727
1403715271865565696,2.46734,0.472318,-1.26239
1403715271875287296,2.26162,0.571917,-1.40648
1403715271885234688,2.33922,0.228786,-1.62064
1403715271895414016,2.58455,0.204991,-1.53862
1403715271905290240,2.88225,0.496161,-1.54487
1403715271915201536,3.2471,0.308971,-1.20809
1403715271925342464,3.70775,0.254853,-1.22665
1403715271935348480,4.01194,0.14541,-1.02917
1403715271945254400,4.18915,0.0824417,-0.838718
1403715271955436800,4.26465,-0.0915321,-0.895476
1403715271965372416,4.1532,-0.130312,-0.941884
1403715271975248640,3.85403,-0.157159,-0.876651
1403715271985295360,3.73446,-0.0964442,-0.887494
1403715271995326720,3.58752,-0.0524147,-0.5924
1403715272005246464,3.80097,0.146033,-0.528328
1403715272015251200,4.26497,-0.0418473,-0.497956
1403715272025423104,4.27027,-0.241315,-0.514588
1403715272035722496,3.74242,-0.0617845,-0.80435
1403715272045254656,3.63495,0.0795913,-1.16991
1403715272055244032,3.7326,0.0811685,-1.41955
1403715272065134080,2.98938,-0.031888,-1.13946
1403715272075245312,2.45261,0.0416253,-1.18191
1403715272085216768,2.33747,0.0304543,-1.0712
1403715272095326976,2.14113,-0.0273486,-1.54984
1403715272105338112,1.95838,0.310464,-2.23276
1403715272115346688,2.08194,0.570558,-2.95416
1403715272125398784,2.46256,0.72729,-3.37004
1403715272135304192,2.90345,0.758599,-3.68659
1403715272145254144,3.29601,0.928359,-3.91356
1403715272155228672,3.71635,0.707276,-3.65297
1403715272165373952,3.92908,0.566574,-3.41229
1403715272175259392,4.05727,0.467255,-3.13406
1403715272185313536,4.14376,0.407276,-2.85101
1403715272195333376,4.21077,0.286961,-2.54547
1403715272205350400,4.04288,0.18121,-2.19206
1403715272215244800,3.47865,0.0845436,-1.76261
1403715272225366528,2.7267,-0.124539,-1.29799
1403715272235287808,2.15177,-0.372137,-1.02351
1403715272245153536,2.25483,-0.0920623,-0.918359
1403715272255359744,2.39158,-0.0638624,-0.724258
1403715272265302784,2.2624,-0.0403696,-0.306269
1403715272275344128,1.85143,-0.168678,-0.158428
1403715272285357568,1.61171,-0.317223,-0.0581246
1403715272295252480,1.4003,-0.402392,0.0984286
1403715272305238528,1.35863,-0.583873,0.181246
1403715272315251968,1.03733,-0.712057,0.274998
1403715272325255680,0.691937,-0.844324,0.422532
1403715272335213056,0.121775,-0.872413,0.380673
1403715272345323264,-0.363499,-0.756562,0.281532
1403715272355210240,-0.549406,-0.711305,0.0664811
1403715272365369856,-0.682085,-0.753436,-0.102062
1403715272375232768,-0.748625,-0.765045,-0.131091
1403715272385390848,-0.798093,-0.730162,-0.114533
1403715272395388160,-1.18403,-0.713045,-0.00729524
